Melbourne
2021
R1 	 H 	 Fremantle 	 4.4 7.6 9.8 11.14  	 80 	 0.4 3.8 6.9 8.10  	 58 	 W 	 22 	 1-0-0 	 M.C.G. 	  21365 	 Sat 20-Mar-2021 1:45 PM
R10 	 A 	 Adelaide 	 3.2 5.4 6.7 13.10  	 88 	 2.4 4.5 4.7 5.7  	 37 	 W 	 51 	 4-0-5 	 Adelaide Oval 	  12022 	 Wed 05-Aug-2020 7:40 PM
R11 	 H 	 North Melbourne 	 1.4 4.7 7.8 13.14  	 92 	 3.2 4.2 5.4 5.5  	 35 	 W 	 57 	 5-0-5 	 Adelaide Oval 	  2172 	 Sun 09-Aug-2020 5:40 PM
R12 	 H 	 Collingwood 	 3.3 10.4 12.4 16.4  	 100 	 1.1 5.2 6.6 6.8  	 44 	 W 	 56 	 6-0-5 	 Gabba 	  5338 	 Sat 15-Aug-2020 5:10 PM
R13 	 A 	 Western Bulldogs 	 1.3 5.5 5.8 7.10  	 52 	 2.4 4.4 10.5 12.8  	 80 	 L 	 -28 	 6-0-6 	 Carrara 	  1765 	 Sat 22-Aug-2020 1:45 PM
R14 	 H 	 St Kilda 	 4.0 5.1 7.3 8.4  	 52 	 1.3 4.5 6.6 7.7  	 49 	 W 	 3 	 7-0-6 	 Traeger Park 	  1917 	 Sat 29-Aug-2020 7:10 PM
R15 	 A 	 Sydney 	 2.3 2.4 3.7 6.10  	 46 	 2.0 7.2 7.4 10.7  	 67 	 L 	 -21 	 7-0-7 	 Cazaly's Stadium 	  3199 	 Thu 03-Sep-2020 4:40 PM
R16 	 H 	 Fremantle 	 0.1 1.3 2.4 4.9  	 33 	 1.6 1.9 4.9 6.11  	 47 	 L 	 -14 	 7-0-8 	 Cazaly's Stadium 	  3279 	 Mon 07-Sep-2020 7:10 PM
R17 	 A 	 Greater Western Sydney 	 5.2 7.5 9.6 12.7  	 79 	 2.3 7.5 10.7 11.8  	 74 	 W 	 5 	 8-0-8 	 Gabba 	  1204 	 Sat 12-Sep-2020 7:40 PM
R18 	 A 	 Essendon 	 1.4 6.6 7.7 10.8  	 68 	 2.0 2.2 3.3 7.7  	 49 	 W 	 19 	 9-0-8 	 Carrara 	  2175 	 Sat 19-Sep-2020 2:10 PM
2019
R1 	 H 	 Port Adelaide 	 4.3 6.5 9.7 9.7  	 61 	 2.4 6.8 10.9 12.15  	 87 	 L 	 -26 	 0-0-1 	 M.C.G. 	  38866 	 Sat 23-Mar-2019 1:45 PM
R2 	 A 	 Geelong 	 2.2 3.4 3.9 6.10  	 46 	 6.1 7.4 13.4 20.6  	 126 	 L 	 -80 	 0-0-2 	 Kardinia Park 	  27561 	 Sat 30-Mar-2019 7:25 PM
R3 	 H 	 Essendon 	 3.1 10.1 12.3 18.4  	 112 	 6.4 8.6 15.6 20.10  	 130 	 L 	 -18 	 0-0-3 	 M.C.G. 	  52475 	 Fri 05-Apr-2019 7:50 PM
R4 	 A 	 Sydney 	 3.2 8.4 12.7 15.10  	 100 	 5.4 8.10 9.11 11.12  	 78 	 W 	 22 	 1-0-3 	 S.C.G. 	  26669 	 Thu 11-Apr-2019 7:20 PM
R5 	 H 	 St Kilda 	 3.3 4.5 4.8 7.13  	 55 	 4.1 7.2 12.5 15.5  	 95 	 L 	 -40 	 1-0-4 	 M.C.G. 	  35558 	 Sat 20-Apr-2019 4:35 PM
R6 	 A 	 Richmond 	 4.1 4.2 5.5 6.6  	 42 	 3.1 5.4 7.9 12.13  	 85 	 L 	 -43 	 1-0-5 	 M.C.G. 	  72704 	 Wed 24-Apr-2019 7:35 PM
R7 	 H 	 Hawthorn 	 2.3 4.5 9.10 11.13  	 79 	 4.5 5.8 7.8 11.8  	 74 	 W 	 5 	 2-0-5 	 M.C.G. 	  40864 	 Sat 04-May-2019 1:45 PM
R8 	 A 	 Gold Coast 	 3.2 3.5 5.9 8.13  	 61 	 2.1 3.3 5.6 9.6  	 60 	 W 	 1 	 3-0-5 	 Carrara 	  9765 	 Sat 11-May-2019 4:35 PM
R9 	 A 	 West Coast 	 3.4 5.8 8.12 9.15  	 69 	 3.2 5.4 7.6 13.7  	 85 	 L 	 -16 	 3-0-6 	 Perth Stadium 	  51162 	 Fri 17-May-2019 6:10 PM
R10 	 H 	 Greater Western Sydney 	 1.1 1.3 3.6 10.8  	 68 	 2.5 6.8 12.9 14.10  	 94 	 L 	 -26 	 3-0-7 	 M.C.G. 	  20023 	 Sun 26-May-2019 1:10 PM
R11 	 H 	 Adelaide 	 6.3 9.4 11.8 12.16  	 88 	 4.0 5.3 9.4 14.6  	 90 	 L 	 -2 	 3-0-8 	 Marrara Oval 	  10634 	 Sat 01-Jun-2019 7:10 PM
R12 	 A 	 Collingwood 	 1.2 3.5 5.9 7.15  	 57 	 3.5 6.8 11.8 15.8  	 98 	 L 	 -41 	 3-0-9 	 M.C.G. 	  74036 	 Mon 10-Jun-2019 3:20 PM
R14 	 H 	 Fremantle 	 2.1 5.4 9.6 13.7  	 85 	 4.1 6.4 10.5 11.5  	 71 	 W 	 14 	 4-0-9 	 M.C.G. 	  20211 	 Sat 22-Jun-2019 1:45 PM
R15 	 A 	 Brisbane Lions 	 3.3 6.5 9.6 11.8  	 74 	 2.6 4.11 10.14 15.17  	 107 	 L 	 -33 	 4-0-10 	 Gabba 	  24809 	 Sun 30-Jun-2019 3:20 PM
R16 	 A 	 Carlton 	 4.4 7.11 14.12 15.15  	 105 	 2.4 5.4 10.6 15.10  	 100 	 W 	 5 	 5-0-10 	 M.C.G. 	  55593 	 Sun 07-Jul-2019 1:10 PM
R17 	 A 	 Western Bulldogs 	 3.2 6.4 7.7 9.12  	 66 	 3.3 6.5 7.13 10.14  	 74 	 L 	 -8 	 5-0-11 	 Docklands 	  26781 	 Sun 14-Jul-2019 3:20 PM
R18 	 H 	 West Coast 	 1.5 7.8 10.10 11.12  	 78 	 5.1 8.3 10.4 14.7  	 91 	 L 	 -13 	 5-0-12 	 Traeger Park 	  7164 	 Sun 21-Jul-2019 2:50 PM
R19 	 A 	 St Kilda 	 5.3 6.4 10.6 13.7  	 85 	 3.2 5.7 10.10 15.14  	 104 	 L 	 -19 	 5-0-13 	 Docklands 	  22854 	 Sat 27-Jul-2019 7:25 PM
R20 	 H 	 Richmond 	 3.1 6.2 7.4 9.6  	 60 	 3.2 6.5 11.9 13.15  	 93 	 L 	 -33 	 5-0-14 	 M.C.G. 	  37254 	 Sat 03-Aug-2019 7:25 PM
R21 	 H 	 Collingwood 	 1.4 2.6 3.8 7.11  	 53 	 0.5 5.6 9.8 10.10  	 70 	 L 	 -17 	 5-0-15 	 M.C.G. 	  31903 	 Sat 10-Aug-2019 1:45 PM
R22 	 H 	 Sydney 	 3.1 3.3 3.7 5.12  	 42 	 4.1 7.3 10.3 15.5  	 95 	 L 	 -53 	 5-0-16 	 M.C.G. 	  23700 	 Fri 16-Aug-2019 7:50 PM
R23 	 A 	 North Melbourne 	 4.2 5.4 11.4 12.11  	 83 	 3.4 5.4 10.9 13.10  	 88 	 L 	 -5 	 5-0-17 	 Bellerive Oval 	  8202 	 Sat 24-Aug-2019 2:10 PM
2018
R1 	 H 	 Geelong 	 6.1 8.5 12.9 13.16  	 94 	 5.3 12.8 13.10 14.13  	 97 	 L 	 -3 	 0-0-1 	 M.C.G. 	  54112 	 Sun 25-Mar-2018 3:20 PM
R2 	 A 	 Brisbane Lions 	 5.4 8.7 9.11 14.16  	 100 	 0.3 2.6 5.11 10.14  	 74 	 W 	 26 	 1-0-1 	 Gabba 	  17141 	 Sat 31-Mar-2018 6:25 PM
R3 	 H 	 North Melbourne 	 3.2 9.7 12.13 18.15  	 123 	 5.3 8.4 10.6 13.8  	 86 	 W 	 37 	 2-0-1 	 M.C.G. 	  35518 	 Sat 07-Apr-2018 2:10 PM
R4 	 A 	 Hawthorn 	 5.5 5.9 5.11 6.12  	 48 	 3.5 7.5 11.7 18.7  	 115 	 L 	 -67 	 2-0-2 	 M.C.G. 	  41973 	 Sun 15-Apr-2018 3:20 PM
R5 	 H 	 Richmond 	 1.5 2.6 5.8 8.8  	 56 	 2.2 5.8 8.9 15.12  	 102 	 L 	 -46 	 2-0-3 	 M.C.G. 	  77071 	 Tue 24-Apr-2018 7:25 PM
R6 	 A 	 Essendon 	 1.3 4.7 11.10 16.12  	 108 	 2.3 5.7 6.9 10.12  	 72 	 W 	 36 	 3-0-3 	 Docklands 	  35964 	 Sun 29-Apr-2018 1:10 PM
R7 	 A 	 St Kilda 	 5.1 8.6 13.10 16.10  	 106 	 2.5 3.8 7.10 9.13  	 67 	 W 	 39 	 4-0-3 	 Docklands 	  25496 	 Sun 06-May-2018 3:20 PM
R8 	 A 	 Gold Coast 	 4.5 8.11 13.17 21.20  	 146 	 3.5 5.7 9.9 11.11  	 77 	 W 	 69 	 5-0-3 	 Gabba 	  6060 	 Sat 12-May-2018 4:35 PM
R9 	 A 	 Carlton 	 3.4 10.4 18.6 25.9  	 159 	 3.1 5.3 7.6 7.8  	 50 	 W 	 109 	 6-0-3 	 M.C.G. 	  44142 	 Sun 20-May-2018 1:10 PM
R10 	 H 	 Adelaide 	 7.1 12.2 18.6 23.8  	 146 	 3.1 4.2 5.4 8.7  	 55 	 W 	 91 	 7-0-3 	 Traeger Park 	  6989 	 Sun 27-May-2018 2:50 PM
R11 	 A 	 Western Bulldogs 	 2.1 7.4 11.7 15.10  	 100 	 3.3 4.6 6.8 7.9  	 51 	 W 	 49 	 8-0-3 	 Docklands 	  28485 	 Sat 02-Jun-2018 1:45 PM
R12 	 H 	 Collingwood 	 2.0 7.2 11.5 14.7  	 91 	 5.5 9.9 15.11 20.13  	 133 	 L 	 -42 	 8-0-4 	 M.C.G. 	  83518 	 Mon 11-Jun-2018 3:20 PM
R14 	 A 	 Port Adelaide 	 3.5 4.8 9.9 9.11  	 65 	 1.3 4.6 8.7 11.9  	 75 	 L 	 -10 	 8-0-5 	 Adelaide Oval 	  40751 	 Fri 22-Jun-2018 7:20 PM
R15 	 H 	 St Kilda 	 4.2 9.3 11.6 18.9  	 117 	 4.3 11.6 14.10 18.11  	 119 	 L 	 -2 	 8-0-6 	 M.C.G. 	  38910 	 Sun 01-Jul-2018 1:10 PM
R16 	 H 	 Fremantle 	 2.9 5.15 9.18 13.24  	 102 	 2.0 4.2 6.5 7.6  	 48 	 W 	 54 	 9-0-6 	 Marrara Oval 	  8689 	 Sat 07-Jul-2018 7:10 PM
R17 	 H 	 Western Bulldogs 	 3.4 6.9 14.9 18.11  	 119 	 4.1 6.6 9.9 10.9  	 69 	 W 	 50 	 10-0-6 	 M.C.G. 	  31053 	 Sat 14-Jul-2018 4:35 PM
R18 	 A 	 Geelong 	 2.3 5.8 11.9 14.14  	 98 	 2.1 5.3 8.4 16.4  	 100 	 L 	 -2 	 10-0-7 	 Kardinia Park 	  30125 	 Sat 21-Jul-2018 7:25 PM
R19 	 A 	 Adelaide 	 3.1 5.7 12.11 13.12  	 90 	 4.4 6.8 7.10 10.17  	 77 	 W 	 13 	 11-0-7 	 Adelaide Oval 	  45880 	 Sat 28-Jul-2018 7:10 PM
R20 	 H 	 Gold Coast 	 9.3 14.6 16.12 21.17  	 143 	 1.0 4.2 5.4 7.5  	 47 	 W 	 96 	 12-0-7 	 M.C.G. 	  23072 	 Sun 05-Aug-2018 3:20 PM
R21 	 H 	 Sydney 	 2.6 3.12 7.14 10.18  	 78 	 1.1 7.2 13.6 13.9  	 87 	 L 	 -9 	 12-0-8 	 M.C.G. 	  51424 	 Sun 12-Aug-2018 3:20 PM
R22 	 A 	 West Coast 	 4.4 7.6 12.8 16.12  	 108 	 3.0 5.4 11.6 14.7  	 91 	 W 	 17 	 13-0-8 	 Perth Stadium 	  55824 	 Sun 19-Aug-2018 1:20 PM
R23 	 H 	 Greater Western Sydney 	 4.2 7.6 12.9 15.12  	 102 	 4.1 5.5 5.8 8.9  	 57 	 W 	 45 	 14-0-8 	 M.C.G. 	  37285 	 Sun 26-Aug-2018 3:20 PM
EF 	 F 	 Geelong 	 5.3 5.9 6.13 10.15  	 75 	 0.2 2.4 3.8 6.10  	 46 	 W 	 29 	 15-0-8 	 M.C.G. 	  91767 	 Fri 07-Sep-2018 7:50 PM
SF 	 F 	 Hawthorn 	 3.1 6.2 12.5 16.8  	 104 	 3.1 3.7 6.9 10.11  	 71 	 W 	 33 	 16-0-8 	 M.C.G. 	  90152 	 Fri 14-Sep-2018 7:50 PM
PF 	 F 	 West Coast 	 0.3 0.6 5.9 7.13  	 55 	 4.8 10.9 15.10 18.13  	 121 	 L 	 -66 	 16-0-9 	 Perth Stadium 	  59608 	 Sat 22-Sep-2018 1:20 PM
2017
R1 	 A 	 St Kilda 	 2.3 9.4 15.7 18.12  	 120 	 6.2 7.8 9.9 13.12  	 90 	 W 	 30 	 1-0-0 	 Docklands 	  36249 	 Sat 25-Mar-2017 4:35 PM
R2 	 H 	 Carlton 	 3.2 6.4 7.5 13.8  	 86 	 2.2 4.6 7.8 9.10  	 64 	 W 	 22 	 2-0-0 	 M.C.G. 	  46727 	 Sun 02-Apr-2017 3:20 PM
R3 	 A 	 Geelong 	 2.4 7.11 12.17 13.19  	 97 	 5.2 9.2 14.2 20.6  	 126 	 L 	 -29 	 2-0-1 	 Docklands 	  29733 	 Sat 08-Apr-2017 4:35 PM
R4 	 H 	 Fremantle 	 2.5 9.7 9.10 15.14  	 104 	 3.2 6.4 13.8 16.10  	 106 	 L 	 -2 	 2-0-2 	 M.C.G. 	  27829 	 Sat 15-Apr-2017 1:45 PM
R5 	 A 	 Richmond 	 3.4 7.6 11.7 11.9  	 75 	 3.1 6.6 7.11 12.16  	 88 	 L 	 -13 	 2-0-3 	 M.C.G. 	  85657 	 Mon 24-Apr-2017 7:25 PM
R6 	 A 	 Essendon 	 2.4 4.6 12.9 17.10  	 112 	 2.2 4.8 6.12 10.14  	 74 	 W 	 38 	 3-0-3 	 Docklands 	  44040 	 Sun 30-Apr-2017 1:10 PM
R7 	 H 	 Hawthorn 	 1.1 4.2 11.6 14.7  	 91 	 5.4 8.7 11.7 14.10  	 94 	 L 	 -3 	 3-0-4 	 M.C.G. 	  38693 	 Sun 07-May-2017 3:20 PM
R8 	 A 	 Adelaide 	 2.2 5.3 12.5 17.5  	 107 	 1.4 6.7 7.8 9.12  	 66 	 W 	 41 	 4-0-4 	 Adelaide Oval 	  47882 	 Sat 13-May-2017 7:10 PM
R9 	 H 	 North Melbourne 	 2.5 8.7 9.9 13.12  	 90 	 6.7 8.9 12.13 15.14  	 104 	 L 	 -14 	 4-0-5 	 M.C.G. 	  33218 	 Sun 21-May-2017 3:20 PM
R10 	 H 	 Gold Coast 	 2.1 4.8 9.10 18.14  	 122 	 4.5 7.7 9.8 13.9  	 87 	 W 	 35 	 5-0-5 	 Traeger Park 	  5072 	 Sat 27-May-2017 4:05 PM
R12 	 H 	 Collingwood 	 4.3 6.6 12.9 15.14  	 104 	 3.2 10.5 12.8 15.10  	 100 	 W 	 4 	 6-0-5 	 M.C.G. 	  70926 	 Mon 12-Jun-2017 3:20 PM
R13 	 A 	 Western Bulldogs 	 4.2 8.6 14.7 17.11  	 113 	 0.1 3.3 6.5 8.8  	 56 	 W 	 57 	 7-0-5 	 Docklands 	  33667 	 Sun 18-Jun-2017 3:20 PM
R14 	 A 	 West Coast 	 3.1 6.6 10.8 15.9  	 99 	 2.5 5.7 11.10 14.12  	 96 	 W 	 3 	 8-0-5 	 Subiaco 	  36622 	 Sat 24-Jun-2017 5:40 PM
R15 	 H 	 Sydney 	 4.0 4.1 5.4 7.8  	 50 	 1.8 5.15 8.16 11.19  	 85 	 L 	 -35 	 8-0-6 	 M.C.G. 	  47464 	 Fri 30-Jun-2017 7:50 PM
R16 	 A 	 Carlton 	 1.2 7.4 11.5 14.6  	 90 	 4.3 7.5 9.8 12.10  	 82 	 W 	 8 	 9-0-6 	 M.C.G. 	  47266 	 Sun 09-Jul-2017 3:20 PM
R17 	 H 	 Adelaide 	 1.3 5.3 9.7 10.10  	 70 	 7.2 11.6 12.11 17.14  	 116 	 L 	 -46 	 9-0-7 	 Marrara Oval 	  12104 	 Sat 15-Jul-2017 7:10 PM
R18 	 H 	 Port Adelaide 	 4.4 8.8 11.8 13.10  	 88 	 0.3 3.6 6.10 9.11  	 65 	 W 	 23 	 10-0-7 	 M.C.G. 	  27068 	 Sat 22-Jul-2017 2:10 PM
R19 	 A 	 North Melbourne 	 2.0 8.5 8.8 10.12  	 72 	 4.4 6.4 9.8 11.10  	 76 	 L 	 -4 	 10-0-8 	 Bellerive Oval 	  13939 	 Sat 29-Jul-2017 1:45 PM
R20 	 A 	 Greater Western Sydney 	 3.0 5.1 7.1 10.2  	 62 	 8.6 10.7 13.12 14.13  	 97 	 L 	 -35 	 10-0-9 	 Manuka Oval 	  14274 	 Sat 05-Aug-2017 1:45 PM
R21 	 H 	 St Kilda 	 6.3 9.6 10.9 14.12  	 96 	 1.1 4.4 8.11 10.12  	 72 	 W 	 24 	 11-0-9 	 M.C.G. 	  53115 	 Sun 13-Aug-2017 1:10 PM
R22 	 H 	 Brisbane Lions 	 3.3 6.6 11.8 16.8  	 104 	 2.3 6.3 9.5 14.7  	 91 	 W 	 13 	 12-0-9 	 M.C.G. 	  30422 	 Sun 20-Aug-2017 1:10 PM
R23 	 A 	 Collingwood 	 1.3 4.8 9.10 12.11  	 83 	 6.5 9.6 12.10 14.15  	 99 	 L 	 -16 	 12-0-10 	 M.C.G. 	  51223 	 Sat 26-Aug-2017 1:45 PM
2016
R1 	 H 	 Greater Western Sydney 	 5.0 5.4 6.5 12.8  	 80 	 3.4 6.8 8.14 10.18  	 78 	 W 	 2 	 1-0-0 	 M.C.G. 	  28505 	 Sat 26-Mar-2016 1:40 PM
R2 	 A 	 Essendon 	 1.4 6.4 7.7 10.7  	 67 	 2.2 7.7 8.10 11.14  	 80 	 L 	 -13 	 1-0-1 	 M.C.G. 	  50424 	 Sat 02-Apr-2016 2:10 PM
R3 	 A 	 North Melbourne 	 2.2 11.5 14.7 20.11  	 131 	 8.2 10.4 17.7 21.10  	 136 	 L 	 -5 	 1-0-2 	 Bellerive Oval 	  12607 	 Sun 10-Apr-2016 1:10 PM
R4 	 A 	 Collingwood 	 6.2 11.2 14.4 16.6  	 102 	 1.2 6.5 8.10 9.13  	 67 	 W 	 35 	 2-0-2 	 M.C.G. 	  47558 	 Sun 17-Apr-2016 3:20 PM
R5 	 H 	 Richmond 	 5.1 11.3 14.7 20.9  	 129 	 2.3 7.5 11.9 14.12  	 96 	 W 	 33 	 3-0-2 	 M.C.G. 	  60867 	 Sun 24-Apr-2016 7:10 PM
R6 	 H 	 St Kilda 	 5.3 8.3 11.5 15.6  	 96 	 3.4 9.9 17.11 20.15  	 135 	 L 	 -39 	 3-0-3 	 Docklands 	  27260 	 Sat 30-Apr-2016 1:45 PM
R7 	 A 	 Gold Coast 	 2.3 8.7 17.11 24.16  	 160 	 4.2 8.2 11.3 14.3  	 87 	 W 	 73 	 4-0-3 	 Carrara 	  12780 	 Sat 07-May-2016 5:10 PM
R8 	 H 	 Western Bulldogs 	 2.2 5.5 7.9 12.10  	 82 	 5.5 8.9 12.10 17.12  	 114 	 L 	 -32 	 4-0-4 	 M.C.G. 	  39921 	 Sun 15-May-2016 3:20 PM
R9 	 H 	 Brisbane Lions 	 5.6 10.7 13.10 19.17  	 131 	 2.3 5.5 6.10 9.14  	 68 	 W 	 63 	 5-0-4 	 M.C.G. 	  26892 	 Sun 22-May-2016 1:10 PM
R10 	 H 	 Port Adelaide 	 2.7 4.9 9.12 10.16  	 76 	 2.4 8.6 12.11 18.13  	 121 	 L 	 -45 	 5-0-5 	 Traeger Park 	  5146 	 Sat 28-May-2016 1:40 PM
R11 	 A 	 Hawthorn 	 2.0 7.2 10.2 10.4  	 64 	 4.5 6.7 8.14 11.16  	 82 	 L 	 -18 	 5-0-6 	 M.C.G. 	  41833 	 Sat 04-Jun-2016 1:45 PM
R12 	 H 	 Collingwood 	 2.4 9.6 11.7 16.8  	 104 	 4.4 5.4 6.6 8.10  	 58 	 W 	 46 	 6-0-6 	 M.C.G. 	  60158 	 Mon 13-Jun-2016 3:20 PM
R13 	 A 	 Sydney 	 1.1 2.3 3.6 4.7  	 31 	 2.6 4.8 6.13 12.14  	 86 	 L 	 -55 	 6-0-7 	 S.C.G. 	  19086 	 Sun 19-Jun-2016 1:10 PM
R15 	 H 	 Adelaide 	 2.3 10.4 14.5 15.8  	 98 	 5.2 8.5 15.8 18.12  	 120 	 L 	 -22 	 6-0-8 	 M.C.G. 	  29133 	 Sun 03-Jul-2016 3:20 PM
R16 	 H 	 Fremantle 	 6.5 9.8 11.11 12.15  	 87 	 2.0 3.1 7.4 8.7  	 55 	 W 	 32 	 7-0-8 	 Marrara Oval 	  8163 	 Sat 09-Jul-2016 7:10 PM
R17 	 A 	 St Kilda 	 6.2 6.5 9.7 11.8  	 74 	 3.3 8.6 10.12 15.20  	 110 	 L 	 -36 	 7-0-9 	 Docklands 	  25322 	 Sun 17-Jul-2016 3:20 PM
R18 	 A 	 West Coast 	 2.2 5.4 8.10 8.12  	 60 	 2.1 5.2 8.4 10.6  	 66 	 L 	 -6 	 7-0-10 	 Subiaco 	  33908 	 Sat 23-Jul-2016 2:35 PM
R19 	 H 	 Gold Coast 	 1.3 6.6 7.10 9.12  	 66 	 3.3 4.6 6.8 9.10  	 64 	 W 	 2 	 8-0-10 	 M.C.G. 	  20627 	 Sun 31-Jul-2016 1:10 PM
R20 	 H 	 Hawthorn 	 5.2 9.2 12.6 17.8  	 110 	 3.3 7.9 10.12 11.15  	 81 	 W 	 29 	 9-0-10 	 M.C.G. 	  38818 	 Sat 06-Aug-2016 2:10 PM
R21 	 A 	 Port Adelaide 	 4.3 8.5 9.9 13.16  	 94 	 1.2 2.4 6.5 8.6  	 54 	 W 	 40 	 10-0-10 	 Adelaide Oval 	  33426 	 Sat 13-Aug-2016 7:10 PM
R22 	 A 	 Carlton 	 2.2 4.8 6.10 7.16  	 58 	 4.5 7.8 10.10 11.12  	 78 	 L 	 -20 	 10-0-11 	 M.C.G. 	  40693 	 Sun 21-Aug-2016 1:10 PM
R23 	 A 	 Geelong 	 2.0 3.2 3.6 6.8  	 44 	 8.2 11.6 14.10 24.11  	 155 	 L 	 -111 	 10-0-12 	 Kardinia Park 	  24413 	 Sat 27-Aug-2016 1:45 PM
2015
